"lat","lon","Name","Phonetic","PostalCode","Address","都道府県"
"37.201433","139.756248","会津酒造","あいづしゅぞう","〒967-0006","福島県南会津郡南会津町永田穴沢603","福島県"
"37.1779142","139.7509714","開当男山酒造","かいとうおとこやましゅぞう","〒967-0005","福島県南会津郡南会津町中荒井久宝居785","福島県"
"38.0594776","139.7450921","野沢酒造店","のざわしゅぞうてん","〒999-1363","山形県西置賜郡小国町小国小坂町213","山形県"
"36.3207132","139.7393863","三福酒造","さんぷくしゅぞう","〒323-0057","栃木県小山市南小林87","栃木県"
"36.3166054","139.739117","杉田酒造","すぎたしゅぞう","〒323-0056","栃木県小山市上泉237","栃木県"
"36.0262064","139.7353315","関口酒造","せきぐちしゅぞう","〒345-0025","埼玉県北葛飾郡杉戸町清地2-1-16","埼玉県"
"36.465096","139.7323836","飯沼銘醸","いいぬまめいじょう","〒322-0604","栃木県栃木市西方町元850","栃木県"
"35.7859107","139.7227442","小山酒造","こやましゅぞう","〒115-0041","東京都北区岩淵町26-10","東京都"
"36.0688895","139.7097345","石井酒造","いしいしゅぞう","〒340-0156","埼玉県幸手市南2-6-11","埼玉県"
"36.3573605","139.7075794","大平酒造","おおひらしゅぞう","〒329-4406","栃木県栃木市大平町下皆川747","栃木県"
"36.1907084","139.7061103","青木酒造","あおきしゅぞう","〒306-0023","茨城県古河市本町2-15-11","茨城県"
"35.9484667","139.6991436","鈴木酒造","すずきしゅぞう","〒339-0057","埼玉県さいたま市岩槻区本町4-8-24","埼玉県"
"36.7239518","139.6873755","渡辺佐平商店","わたなべさへいしょうてん","〒321-1261","栃木県日光市今市450","栃木県"
"36.7279042","139.6867225","片山酒造","かたやましゅぞう","〒321-1263","栃木県日光市瀬川146-2","栃木県"
"35.9246609","139.6854212","大瀧酒造","おおたきしゅぞう","〒330-0811","埼玉県さいたま市見沼区膝子663","埼玉県"
"36.0649811","139.6754233","寒梅酒造","かんばいしゅぞう","〒346-0003","埼玉県久喜市久喜中央2-9-27","埼玉県"
"35.9720766","139.6573943","神亀酒造","しんかめしゅぞう","〒349-0114","埼玉県蓮田市馬込3-74","埼玉県"
"35.9997891","139.647171","清龍酒造","せいりゅうしゅぞう","〒349-0133","埼玉県蓮田市閏戸659-3","埼玉県"
"35.8537908","139.6292089","内木酒造","うちきしゅぞう","〒338-0832","埼玉県さいたま市桜区西堀6-13-15","埼玉県"
"37.5598377","139.6179329","栄川酒造","さかえがわしゅぞう","〒969-4406","福島県耶麻郡西会津町野沢本町甲1184","福島県"
"35.628929","139.5884862","土屋酒造","つちやしゅぞう","〒201-0005","東京都狛江市","東京都"
"35.9782859","139.5863116","文楽","ぶんらく","〒362-0037","埼玉県上尾市上町2-5-5","埼玉県"
"36.3110911","139.5795799","吉井酒造","よしいしゅぞう","〒327-0025","栃木県佐野市金屋下町2445","栃木県"
"35.917759","139.5790053","小山本家酒造","こやまほんけしゅぞう","〒331-0047","埼玉県さいたま市指扇1798","埼玉県"
"36.3262119","139.5780989","相沢酒造","あいざわしゅぞう","〒327-0843","栃木県佐野市堀米町3954-1","栃木県"
"36.1031797","139.5772507","釜屋","かまや","〒347-0105","埼玉県加須市騎西1162","埼玉県"
"36.0891705","139.5725852","清水酒造","しみずしゅぞう","〒347-0116","埼玉県加須市戸室1006","埼玉県"
"36.2984975","139.5652455","第一酒造","だいいちしゅぞう","〒327-0031","栃木県佐野市田島町488","栃木県"
"37.2638706","139.5403259","花泉酒造","はないずみしゅぞう","〒967-0641","福島県南会津郡南会津町界中田646-1","福島県"
"36.2532165","139.5357432","清水屋酒造","しみずやしゅぞう","〒374-0068","群馬県館林市台宿町3-10","群馬県"
"36.1719506","139.5307135","東亜酒造","とうあしゅぞう","〒348-0054","埼玉県羽生市西4-1-11","埼玉県"
"36.2512444","139.5306964","龍神酒造","りゅうじんしゅぞう","〒374-0065","群馬県館林市西本町7-13","群馬県"
"36.2474533","139.530541","分福酒造","ぶんぶくしゅぞう","〒374-0047","群馬県館林市仲町3-15","群馬県"
"36.176441","139.5040411","南陽醸造","なんようじょうぞう","〒348-0041","埼玉県羽生市上新郷5951","埼玉県"
"38.2282039","139.4926776","宮尾酒造","みやおしゅぞう","〒958-0873","新潟県村上市上片町5-15","新潟県"
"35.9216677","139.4814797","小江戸鏡山酒造","こえどかがみやましゅぞう","〒350-0065","埼玉県川越市仲町10-13","埼玉県"
"38.2197851","139.4766382","大洋酒造","たいようしゅぞう","〒958-0857","新潟県村上市飯野1-4-31","新潟県"
"35.6702149","139.4765948","野口酒造店","のぐちしゅぞうてん","〒183-0022","東京都府中市宮西町4-2-1","東京都"
"35.7673597","139.4736773","豊島屋酒造","としまやしゅぞう","〒189-0003","東京都東村山市久米川町3-14-10","東京都"
"36.145457","139.4685524","横田酒造","よこたしゅぞう","〒361-0022","埼玉県行田市桜町2-29-3","埼玉県"
"36.1307613","139.4651756","川端酒造","かわばたしゅぞう","〒361-0032","埼玉県行田市佐間2-9-8","埼玉県"
"37.6806264","139.4602822","麒麟山酒造","きりんざんしゅぞう","〒959-4402","新潟県東蒲原郡阿賀町津川46","新潟県"
"37.6809262","139.4556993","下越酒造","かえつしゅぞう","〒959-4402","新潟県東蒲原郡阿賀町津川3644","新潟県"
"35.9868477","139.4451607","日本酒造","にほんしゅぞう","〒350-0151","埼玉県比企郡川島町八幡6-2","埼玉県"
"36.2087266","139.4348664","山川酒造","やまかわしゅぞう","〒370-0503","群馬県邑楽郡千代田町赤岩185-3","群馬県"
"35.3605361","139.4020048","熊澤酒造","くまざわしゅぞう","〒253-0082","神奈川県茅ヶ崎市香川7-10-7","神奈川県"
"35.7590951","139.3995934","渡辺酒造","わたなべしゅぞう","〒208-0001","東京都武蔵村山市","東京都"
"35.4658569","139.3901892","泉橋酒造","いずみばししゅぞう","〒243-0435","神奈川県海老名市下今泉5-5-1","神奈川県"
"36.2962384","139.3764428","太刀川酒造","たちかわしゅぞう","〒373-0026","群馬県太田市東本町28-15","群馬県"
"37.9602909","139.3542168","菊水酒造","きくすいしゅぞう","〒957-0011","新潟県新発田市島潟750","新潟県"
"36.3148274","139.3479806","今井酒造店","いまいしゅぞうてん","〒373-0062","群馬県太田市鳥山中町746-2","群馬県"
"36.2900468","139.3417649","島岡酒造","しまおかしゅぞう","〒373-0036","群馬県太田市由良町375-2","群馬県"
"35.7187724","139.3324661","石川酒造","いしかわしゅぞう","〒197-0003","東京都福生市熊川1","東京都"
"37.9380568","139.3320369","金升酒造","かねますしゅぞう","〒957-0016","新潟県新発田市豊町1-9-30","新潟県"
"37.9436811","139.331184","市島酒造","いちしましゅぞう","〒957-0055","新潟県新発田市諏訪町3-1-17","新潟県"
"35.9136195","139.3283501","長澤酒造","ながさわしゅぞう","〒350-1242","埼玉県日高市北平沢335","埼玉県"
"35.8384329","139.3248875","五十嵐酒造","いがらししゅぞう","〒357-0044","埼玉県飯能市川寺667-1","埼玉県"
"35.6606985","139.321683","小澤酒造場","おざわしゅぞうじょう","〒192-0055","東京都八王子市八木町2-15","東京都"
"36.1561434","139.3201423","権田酒造","ごんだしゅぞう","〒360-0843","埼玉県熊谷市三ヶ尻1491","埼玉県"
"35.741761","139.3201159","田村酒造場","たむらしゅぞうじょう","〒197-0011","東京都福生市福生626","東京都"
"38.037693","139.3050688","ふじの井酒造","ふじのいしゅぞう","〒957-0231","新潟県新発田市藤塚浜1335","新潟県"
"36.2797307","139.3038719","山崎酒造","やまざきしゅぞう","〒370-0321","群馬県太田市新田木崎町966","群馬県"
"35.9406947","139.3033631","麻原酒造","あさはらしゅぞう","〒350-0451","埼玉県入間郡毛呂山町毛呂本郷94","埼玉県"
"35.8568439","139.3032143","有馬錦酒造","ありまにしきしゅぞう","〒357-0063","埼玉県飯能市飯能446-12","埼玉県"
"35.4443881","139.2977998","黄金井酒造","こがねいしゅぞう","〒243-0121","神奈川県厚木市七沢769","神奈川県"
"35.9591451","139.296163","越生酒造","おごせしゅぞう","〒350-0416","埼玉県入間郡越生町越生852","埼玉県"
"35.5276872","139.2905055","大矢孝酒造","おやたかししゅぞう","〒243-0306","神奈川県愛甲郡愛川町田代521","神奈川県"
"35.3978712","139.2871207","吉川醸造","きっかわじょうぞう","〒259-1138","神奈川県伊勢原市神戸681","神奈川県"
"35.7216485","139.2866038","中村酒造場","なかむらしゅぞうじょう","〒197-0826","東京都あきる野市牛沼63","東京都"
"35.5736996","139.2822189","久保田酒造","くぼたしゅぞう","〒220-0203","神奈川県相模原市緑区根小屋702","神奈川県"
"36.1952494","139.2813","藤橋藤三郎商店","ふじはしとうざぶろうしょうてん","〒366-0822","埼玉県深谷市仲町4-10","埼玉県"
"35.9732484","139.278136","佐藤酒造店","さとうしゅぞうてん","〒350-0405","埼玉県入間郡越生町津久根141-1","埼玉県"
"36.4355444","139.2747815","奥村酒造","おくむらしゅぞう","〒376-0101","群馬県みどり市大間々町大間々1034","群馬県"
"36.1945938","139.2746476","滝澤酒造","たきざわしゅぞう","〒366-0826","埼玉県深谷市田所町9-20","埼玉県"
"36.4332475","139.2740288","近藤酒造","こんどうしゅぞう","〒376-0101","群馬県みどり市大間々町大間々1002","群馬県"
"35.6799725","139.2657264","中島酒造場","なかじましゅぞうじょう","〒192-0154","東京都八王子市下恩方町725","東京都"
"36.0563361","139.2590955","武蔵鶴酒造","むさしつるしゅぞう","〒355-0328","埼玉県比企郡小川町大塚243","埼玉県"
"36.0536418","139.2559431","晴雲酒造","せいうんしゅぞう","〒355-0328","埼玉県比企郡小川町大塚178-2","埼玉県"
"35.588388","139.251108","清水酒造","しみずしゅぞう","〒220-0207","神奈川県相模原市津久井町中野1322","神奈川県"
"36.2380475","139.2469121","丸山酒造","まるやましゅぞう","〒366-0009","埼玉県深谷市横瀬1323","埼玉県"
"36.0434454","139.242264","松岡醸造","まつおかじょうぞう","〒355-0326","埼玉県比企郡小川町下古寺7-2","埼玉県"
"37.8353148","139.2227445","白龍酒造","はくりゅうしゅぞう","〒959-2025","新潟県阿賀野市岡山町3-7","新潟県"
